Nombre,Caracteristicas,Foto,URL,Codigo,Animal,Sexo,Medidas,Edad,Color,Raza,Nacimiento,Entrada,Descripción,Estado,Años perrera
Tona,Tranquila y mimosa,https://server03.protectorabcn.es/8527-home_default/tona.jpg,tona,1120,Perros,Hembra,Mediano,Adulto,Marrón oscuro,Mestizo,01/2012,10/2019,"Tona es una perrita incomprendida debido a la incontinencia urinaria que padece, la cual se ha intentado tratar por diferentes métodos sin éxito. Aunque sea una perrita 10, sociable con la gente y con los perros, los adoptantes suelen descartarla cuando saben de su incontinencia. Si buscas una perrita super sociable y con facilidad para adaptarse a cualquier entorno y familia Tona espera impaciente una familia con la que compartir su vida.Si estás interesado en conocerla puedes enviarnos un email a info@protectorabcn.es",En Adopción,7.7 years
Toby,Necesita conocer,https://server02.protectorabcn.es/8957-home_default/toby.jpg,toby,1467,Perros,Macho,Pequeño,Joven,Negro y marrón,Mestizo de Terrier,07/2015,02/2019,"Este perrito de tamaño pequeño con expresión tan simpática es Toby, el cual fue abandonado en la calle sin ningún miramiento, posiblemente esa experiencia le ha generado mucha inseguridad hacia las personas.Toby está aprendiendo de nuevo a confiar en los humanos, y para ello necesita que tengan un poco de paciencia para conocerlo, en cuanto te conoce descubres un perrito juguetón, curioso y alegre. Y en el entorno adecuado podrá seguir mejorando sus inseguridades hacia las personas desconocidas. Toby no es adecuado para convivir con niños. Necesita de un adoptante con ganas de conocerlo y darle una oportunidad más que merecida.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción,3.6 years
Neo,Buscando un nuevo hogar,https://server02.protectorabcn.es/8597-home_default/neo.jpg,neo,1744,Perros,Macho,Grande,Adulto,Crema,Podenco,11/2013,01/2020,"Neo es este guapo mestizo de labrador. Llegó a nuestro refugio dejado por quien fuera su familia. No sabemos en qué condiciones vivía Neo. Pero desde que llegó a la protectora vimos en él a un perrote extremadamente cariñoso y con muchas ganas de hacer amigos perrunos y humanos. Algo que estamos seguros de que se le negó en un pasado que Neo va dejando atrás.Es un perrito carismático, cariñoso y que facilmente cogió un vínculo especial con sus cuidadores al igual que lo hará con aquella persona que se fije en él y le regale una vida plena y feliz como se merece. Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción,6.2 years
Simba,Precioso paticorto ,https://server03.protectorabcn.es/8430-home_default/simba.jpg,simba,1771,Perros,Macho,Mediano,Adulto,Blanco,Mestizo,08/2018,02/2020,"Este simpático, paticorto y cabezudo es Simba. Está con nosotros porque su dueña estaba muy enferma y no podía seguir atendiéndolo. Simba llevaba toda la vida con ella, por lo que el cambio ha sido muy duro para él. Los primeros días Simba estaba muy asustado y nos ladraba para que no nos acercáramos a él, pero ya hadescubierto que aquí todos somos sus amigos. Si quieres conocerlo contáctanos, eso sí tendrás que hacerlo poco a poco porque todavía se muestra desconfiado con la gente que no conoce. Es importante que la familia que quiera adoptar a Simba sea un núcleo familiar reducido y sepan darle la seguridad que necesita para estar relajado y agusto en los paseos. No es un perro adecuado para familias sin experiencia en perros.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción,1.5 years
Tizón,Joven y juguetón ,https://server01.protectorabcn.es/8830-home_default/tizon.jpg,tizon,1772,Perros,Macho,Grande,Cachorro,Negro,Mestizo,03/2019,02/2020,"Este perrito tan guapo es Tizón y a su corta edad ya sabe lo que es el abandono, una alergia en la familia hizo que Tizón no pudiera seguir viviendo con ellos.Tizón es un perrito muy juguetón y activo, aquí en el refugio está un poco nervioso y necesita encontrar un hogar. donde recuperar la tranquilidad y la estabilidad que tenía. Tizón ha salido positivo a leishmania y ya ha empezado a recibir su tratamiento, recordamos que es una enfermedad que controlada les permite hacer vida totalmente normal.Si te animas a conocer este encanto de perrito no dudes en acercarte al refugio y preguntarnos por él.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción,0.9 years
Thor,¡¡ RESERVADO !!,https://server01.protectorabcn.es/8931-home_default/thor.jpg,thor,1784,Perros,Macho,Mediano,Adulto,Negro,Mestizo,04/2015,02/2020,"Debajo de esas orejotas está un perrito muy juguetón y con energía para dar largos paseos.Este simpático perrito de tamaño mediano se llama Thor y es muy cariñoso, sociable y por supuesto precioso. Buscamos para él una familia con tiempo para dedicarle.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción,4.8 years
Blai,¡¡ RESERVADO !!,https://server01.protectorabcn.es/8921-home_default/blai.jpg,blai,1825,Perros,Macho,Grande,Adulto,Atigrado y blanco,Mestizo,11/2016,06/2020,"Este simpático perrito es Blai, tiene 3 años y es de tamaño grande. Ha llegado a nuestro refugio porque su propietario, una persona mayor no se podía seguir haciendo cargo de él.Blai es un perro sociable y alegre, se relaciona bien con perros y personas.Para adopción enviar un email a info@protectorabcn.es",En Adopción,3.6 years
Luna,Necesita compañía,https://server01.protectorabcn.es/8877-home_default/luna.jpg,luna,1831,Perros,Hembra,Pequeño,Adulto,Atigrado,Mestizo de Terrier,2012,07/2020,"Luna es esta preciosa y simpática mestiza de terrier nacida en 2012, pese a tener 8 años es una perrita con energía que a demás tiene mucha dependencia de las personas que coge de referente por eso mismo Luna no es adecuada para todo tipo de familia, necesita una familia que pueda darle mucha compañía y que a demás puede seguir su ritmo.Si quieres conocer a Luna contactanos a info@protectorabcn.es",Urgente,8.5 years
Osiris,Hogar con experiencia,https://server02.protectorabcn.es/7873-home_default/osiris.jpg,osiris,1653,Perros,Macho,Pequeño,Joven,Negro,Mestizo de caniche,06/2018,09/2019,Osiris es este simpático mestizo de caniche nacido en junio de 2018. Es un perrito sociable y cariñoso pero que debido a su pasado necesita una familia que le ayude a gestionar su nerviosismo en alguna situaciones. Osiris merece por fin encontrar ese hogar que nunca ha conocido y así ser todo lo feliz que merece ser. No es compatible para convivir con niños. Y tras dos adopciones fallidas buscamos para él una familia que entienda de perros con problemas de conductay sobretodo con ganas para ayudarlo a estar mejor.,En Adopción,1.3 years
Maggie,¡¡ RESERVADA !!,https://server01.protectorabcn.es/8859-home_default/maggie.jpg,maggie,1840,Perros,Hembra,Grande,Adulto,Propio,Mestizo,03/2015,07/2020,"Esta simpática perrita es Maggie, de tamaño grande y muy simpática. Llegó al refugio por la difícil situación económica de su propietario.Maggie nos ha enseñado lo dulce y buena que es, y queremos encontrar una buena familia para ella para que olvide esta etapa de incertidumbre cuanto antes.Si está interesado en conocerla envíanos un email a info@protectorabcn.es",En Adopción,5.3 years
Aura,¡¡ RESERVADA !!,https://server02.protectorabcn.es/8947-home_default/aura.jpg,aura,1843,Perros,Hembra,Grande,Adulto,Crema,Mestizo de Mastín,09/2013,07/2020,"Aura es esta preciosa perrita de tamaño grande. Hace poco que ha llegado al refugio esperando poder conocer por fin la familia que le cambie la vida. Aura es una perrita que no ha tenido ninguna suerte en su pasado, ha sufrido mucha desatención y además la vemos muy asustada en el refugio.Aura necesita un hogar donde le den mucho cariño y la ayudan a volver a confiar en las personas. Esperamos que llegue pronto la familia que necesita.Si estás interesado en conocer a Aura envíanos un email a info@protectorabcn.es",En Adopción,6.8 years
Maya,¡¡ RESERVADA !!,https://server03.protectorabcn.es/8866-home_default/maya.jpg,maya,1844,Perros,Hembra,Grande,Adulto,Blanco,Mestizo,02/2018,07/2020,"Esta preciosa perrita de tamaño grande es Maya.Llega a nuestro refugio por la separación de sus propietarios, los cuales la habían adquirido a un particular cuando era un cachorro.Maya necesita una familia que le proporcione seguridad y estabilidad, es importante que la familia que la quiera adoptar la ayude a crear un buen vínculo para que pueda sentirse cómoda. Maya es una perrita simpática y cariñosa que necesita el entorno adecuado para poder ser una gran compañera.Si quieres conocer a Maya puedes enviarnos un email a info@protectorabcn.es",En Adopción,2.4 years
Chuche,Una nueva oportunidad,https://server01.protectorabcn.es/8882-home_default/chuche.jpg,chuche,1845,Perros,Hembra,Mediano,Adulto,Marrón,Mestizo de Bullterrier,03/2017,07/2020,"Esta perrita de tamaño mediano es Chuche, a sus 3 años todavía no ha encontrado un hogar definitivo.Fue encontrada siendo una recién nacida en un contenedor de basura, y un particular la rescató y sacó adelante.Chuche no ha tenido la estabilidad que necesita un perro en sus primeros años de vida, por este motivo necesita una familia dispuesta a entenderla y ayudarla para que se pueda integrar de la mejor forma a un nuevo núcleo familiar.Esperamos que aparezca pronto la familia adecuada. Chuche no es compatible para convivir con gatos.Si estás interesado en conocer a Chuche envíanos un email a info@protectorabcn.es",En Adopción,3.3 years
Olivia,Necesita un hogar urgente,https://server02.protectorabcn.es/8912-home_default/olivia.jpg,olivia,1846,Perros,Hembra,Grande,Adulto,Marrón y blanco,Mestizo,09/2013,07/2020,"Olivia es una perrita que no ha tenido suerte en su vida. Fue encontrada en muy malas condiciones, en un avanzado estado de desnutricióny severa desatención. Tuvo la suerte de ir a parar delante de la casa de una buena persona que sintió lástima por ella y empezó a alimentarla. Como esa persona no se la podía quedar buscó una asociación que se hiciera cargo de ella, en ese momento Olivia fue diagnosticada de leishmaniosis y empezó su tratamiento para empezar a recuperarse.Hace poco ha llegado a la Lliga en busca de un mejor futuro. Pero recientemente se le han diagnosticado déficits neurológicos de causa desconocida, además se le extirparon unos tumores mamarios y lamentablemente la biopsia ha confirmado que se trata de un carcinoma, por lo que el pronóstico para Olivia no es muy alentador y posiblemente le queden 2 o 3 años de vida, es algo que no podemos saber con seguridad.Sabemos que la mayoría de familias que están pensando en incorporar un nuevo miembro perruno a su familia no tienen en mente este tipo de casos. Además Olivia es una perra de unos 30kgs, y sabemos que el tamañotambién será un inconveniente más para que pueda encontrar un hogar.Para su caso sería conveniente un hogar sin muchas escaleras, pues posiblemente tenga complicaciones en este sentido. Aunque sabemos que es difícil creemos que alguna familia se animará a conocer a Olivia y podrá ver que detrás de todo esto se encuentra una perrita muy cariñosa y tierna muy necesitada de amor y atenciones.",Urgente,6.8 years
Cotó,Necesita cariño,https://server02.protectorabcn.es/8966-home_default/coto.jpg,coto,1847,Perros,Macho,Grande,Adulto,No disponible,Staffordshire inglés,03/2017,07/2020,"Cotó es un perrito que no ha tenido suerte en su vida. Siendo todavía un cachorro fue abandonado en un contenedor con la intención de que falleciera, afortunadamente lo rescataron y no fue así.Cotó ha pasado por varias manos hasta llegar a nuestro refugio, y posiblemente alguna de las personas que ha estado a su cargo no ha sido justa con él, pues creemos que por algunas de sus reacciones y desconfianza ha sido un perro maltratado.A pesar de un pasado difícil Cotó se muestra muy mimoso con las personas, y estamos buscando para él una familia con ganas de conocerlo y ayudarlo, después de todo se lo merece. Cotó está catalogado como potencialmente peligroso por su raza, por lo que la familia que lo quiera adoptar tendrá que tramitar la licencia para su tenencia.Si estás interesado en conocer a Cotó envíanos un email a info@protectorabcn.es",En Adopción,3.3 years
Rosalia,Necesita confiar,https://server03.protectorabcn.es/8979-home_default/rosalia.jpg,rosalia,1848,Perros,Hembra,Pequeño,Joven,Marrón claro,Podenco,05/2018,07/2020,"Rosalia es esta preciosa Podenca nacida en mayo de 2018, su anterior familia no podía seguir cuidando de ella. Es una perrita desconfiada de las personas que necesita de una familia tranquila y con paciencia que cree vínculo con ella. Si quieres conocer a Rosalia contactanos a info@protectorabcn.es",En Adopción,2.2 years
Marley,¡¡ RESERVADO !!,https://server01.protectorabcn.es/8917-home_default/marley.jpg,marley,1849,Perros,Macho,Grande,Adulto,No disponible,Pastor belga malinois,10/2018,07/2020,"Marley ha tenido un pasado muy desafortunado y ha llegado a la Lliga en busca de un mejor futuro. Su antiguo propietario no lo atendía correctamente y por este motivo necesita aprender a pasear por la calle con tranquilidad. Marley es un Malinois joven y con mucha energía. Por el tipo de raza que es, no es adecuado para la mayoría de familias que buscan un perro como animal de compañía, los Malinois son perros con un nivel de actividad muy alto y con potencia, por lo que vamos a valorar únicamente las candidaturas que veamos que puedan ser apropiadas para él. Marley es un perro sociable con personas y con perros.Si estás interesado en conocerlo puedes enviarnos un email a info@protectorabcn.es",En Adopción,1.7 years
Yara,Un futuro para ella ,https://server03.protectorabcn.es/8892-home_default/yara.jpg,yara,1852,Perros,Hembra,Mediano,Adulto,Blanco y negro,Staffordshire inglés,09/2016,08/2020,"Esta preciosa Sttafordshire inglés es Yara. Ha llegado a nuestra asociación procedente de otro refugio donde tienen muchos perritos y pasaba muy desapercibida. Yara sufrió el abandono junto a tres de sus cachorros en el verano de 2019, sus cachorros encontraron un hogar, pero ella no ha tenido esa suerta.Yara es una perrita sociable con los demás perros y con las personas, esperamos que estar catalogada como potencialmente peligrosa no le reste muchas oportunidades, aunque sabemos que ya ha sido así en el año que ha estado en el otro centro. Yara es una perrita mimosa y alegre que espera encontrar una familia dispuesta a cuidarla como se merece.Si estás interesado en conocerla envíanos un email a info@protectorabcn.es",En Adopción,3.9 years
Pongo,Necesita cariño y un buen hogar ,https://server03.protectorabcn.es/8907-home_default/base-perro.jpg,base,1633,Perros,Macho,Mediano - Grande,Joven,Negro y marrón,Mestizo de Pastor Alemán,07/2016,08/2020,"Pongo es un mestizo de Pastor Alemán nacido en julio de 2016. Por el momento no ha tenido mucha suerte, ya que no ha dado con buenas familias. Sin embargo Pongo es un buen perro, cariñoso, alegre y que merece encontrar un hogar estable.Esperamos que pronto encuentre esa familia que lo quiera de verdad.Si estás interesado en adoptar a Pongo envíanos un email a info@protectorabcn.es",En Adopción,4.1 years
Lisa,Podenquita sin hogar,https://server02.protectorabcn.es/8910-home_default/lisa.jpg,lisa,1865,Perros,Hembra,Mediano,Adulto,Marrón claro,Podenco,06/2016,06/2020,"Lisa es una podenca de tamaño pequeño-mediano nacida en junio de 2016. Lisa es una perrita desconfiada de las personas y con algunos miedos en la calle, necesita crear vínculo para sentirse segura es entonces cuando se muestra tal y como es, una perrita simpática, cariñosa, juguetona y con energía para no parar de jugar con sus compis perrunos. Buscamos para Lisa una familia que se adapte a ella, con experiencia con perros miedosos y a la vez que puedan seguir su actividad, idealmente con la compañía de otro de su especie.Si quieres adoptar a Lisa contáctanos a info@protectorabcn.es",En Adopción,4.0 years
Duna,Empezar de nuevo ,https://server03.protectorabcn.es/8926-home_default/duna.jpg,duna,1866,Perros,Hembra,Mediano,Adulto,Atigrado,Mestizo,06/2015,08/2020,"A Duna le ha faltado atención y cariño, quizás también algo de comprensión. Cuando Duna llegó al refugio lo pasó muy mal, no entendía lo que estaba pasando pero poco a poco se va mostrando como una perrita muy dulce y sentimental que necesita un hogar en el que le ofrezcan todo el cariño que busca.Si quieres adoptar a Duna envíanos un email a info@protectorabcn.es",En Adopción,5.2 years
Tronca,Simpática y mimosa,https://server03.protectorabcn.es/8974-home_default/tronca.jpg,tronca,1867,Perros,Hembra,Mediano,Adulto,Atigrado,Mestizo de Pitbull,09/2015,08/2020,"Esta preciosidad es Tronca, una cruce de pitbull que nos tiene enamorados. Ha llegado a nuestro refugio procedente de otro centro en el que llevaba bastante tiempo esperando un hogar que no llegaba, esperamos que el cambio le ayude a dar con un buen hogar.Tronca es una perrita mimosa y que pasea muy bien de la correa.Tronca salió positiva a leishmania, por lo que está siendo tratada, recordamos que hoy en día es una enfermedad muy común y con la que pueden hacer vida normal siempre que haya un control veterinaria adecuado.Si estás interesado en dejarte conquistar por Tronca envíanos un correo a info@protectorabcn.es",En Adopción,4.9 years
Akami,Un hogar para él ,https://server03.protectorabcn.es/8971-home_default/akami.jpg,akami,1868,Perros,Macho,Mediano,Adulto,Varios,Mestizo,04/2017,08/2020,"Este perrito de tamaño mediano es Akami, ha llegado hace poco al refugio porque donde vivía no podían dedicarle mucho tiempo a sus paseos y siendo un perro joven necesita cierta atención.Akami es un perrito alegre y movido, que necesita un hogar donde encontrar cariño y estabilidad para afrontar esta nueva etapa en su vida.Si estás interesado en conocer a Akami envianos un email a info@protectorabcn.es",En Adopción,3.3 years
Otta,Confiando en el ser humano,https://server01.protectorabcn.es/9009-home_default/otta.jpg,otta,1869,Perros,Hembra,Mediano,Joven,Marrón y blanco,Mestizo,05/2016,07/2020,"Otta es esta mestiza de Bretón nacida en mayo de 2016. Otta fue encontrada en la calle, suponemos, por su miedo hacia las personas desconocidas que en su pasado no tuvo que ser muy bien tratada, por eso buscamos para Otta una familia paciente y tranquila que cree vínculo con ella antes de salir adoptada. Si quieres conocer a Otta contactanos a info@protectorabcn.es",En Adopción,4.2 years
Leia,Volviendo a confiar,https://server03.protectorabcn.es/8987-home_default/leia.jpg,leia,1870,Perros,Hembra,Pequeño,Joven,Marrón oscuro,Mestizo de Podenco,06/2015,08/2020,"Leia es esta preciosa mestiza nacida en junio de 2015, lleva toda su vida viviendo en un refugio, no ha conocido nada más, ahora ha llegado a nosotros con la esperanza de poderle conseguir un hogar donde la traten y cuiden como se merece. Leia es una perrita desconfiada de las personas y tiene muchos miedos en la calle ya que no ha conocido mucha cosa, por eso buscamos para Leia una familia con experiencia en este tipo de perros para que pueda ayudarla a ser la perrita que merece ser.Si quieres conocer a Leia contáctanos a info@protectorabcn.es",En Adopción,5.2 years
Coral,Simpática y movida,https://server02.protectorabcn.es/8989-home_default/coral.jpg,coral,1871,Perros,Hembra,Pequeño,Joven,Marrón y blanco,Mestizo de Podenco,02/2019,08/2020,Coral es esta podenquita nacida en febrero de 2019. Es una perrita sociable y cariñosa que necesita una familia activa como ella que pueda seguir su ritmo.Si quieres conocer a Coral contáctanos a info@protectorabcn.es,En Adopción,1.5 years
Harry,Encantador,https://server02.protectorabcn.es/8994-home_default/harry.jpg,harry,1872,Perros,Macho,Mediano,Joven,Marrón claro,Mestizo de Podenco,07/2019,08/2020,"Harry es este mestizo de podenco nacido en julio de 2019. Es sociable, cariñoso y con ganas de juerga y diversión como es normal siendo tan joven. Harry busca una familia que pueda dedicarle tiempo para quemar su energía.Si quieres conocer a Harry, contáctanos a info@protectorabcn.es",En Adopción,1.1 years
Elvira,Joven y movida,https://server03.protectorabcn.es/8998-home_default/elvira.jpg,elvira,1873,Perros,Hembra,Pequeño,Joven,Marrón y blanco,Mestizo,10/2019,09/2020,"Elvira es esta mestiza nacida en octubre de 2019, es una perrita sociable y cariñosa pero también con movida y con energía. Elvira necesita una familia que pueda seguir su ritmo.Si quieres conocer a Elvira contactanos a info@protectorabcn.es",En Adopción,0.9 years
Wendy,¡¡ RESERVADA !!,https://server01.protectorabcn.es/9006-home_default/wendy.jpg,wendy,1875,Perros,Hembra,Mediano,Joven,Gris oscuro y blanco,Mestizo,06/2018,09/2020,"Wendy es esta preciosa mestiza nacida en junio de 2018. En un primer momento se puede mostrar algo tímida, pensamos que no ha tenido que ser muy bien tratada en su pasado, pero una vez entiende que no se le va a hacer ningún daño se muestra muy cariñosa y simpática. Wendy busca una familia que le haga olvidar su pasado y puede ser todo lo feliz que se merece.Si quieres conocer a Wendy contactanos a info@protectorabcn.es",En Adopción,2.3 years
Pinto,Necesita un hogar,https://server03.protectorabcn.es/9008-home_default/pinto.jpg,pinto,1876,Perros,Macho,Mediano,Joven,Marrón claro,Podenco,03/2016,09/2020,"Pinto es este podenco nacido en marzo de 2016. En un primer momento puede mostrarse un poco tímido, pero rápidamente se muestra muy cariñoso. A Pinto le está costando adaptarse a la vida del refugio por eso esperamos que pronto aparezca esa familia que tanto necesita, una familia que se adapte a las necesidades de este precioso podenco.Si quieres conocer a Pinto contactanos a info@protectorabcn.es",En Adopción,4.5 years
